generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc,variant,anchor
circle,10.0,0.0,0.5,10,20,42,FPT_Hard assignment,0.855,0.440497,0.145,0.0,0,0.001642,0.736,13.1374,Hard assignment,circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_Hard assignment,0.865,0.387576,0.135,0.0,0,0.001653,0.7068,13.222,Hard assignment,circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_Hard assignment,0.94,0.408502,0.06,0.0,0,0.001581,0.7184,12.6476,Hard assignment,circle_easy
circle,10.0,0.0,0.5,10,20,42,FPT_No transition prior,0.825,0.080908,0.175,0.0,0,0.001643,0.736,13.141,No transition prior,circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_No transition prior,0.845,0.230917,0.155,0.0,0,0.001667,0.7068,13.336,No transition prior,circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_No transition prior,0.89,0.146913,0.11,0.0,0,0.001581,0.7184,12.6472,No transition prior,circle_easy
circle,10.0,0.0,0.5,10,20,42,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.001645,0.736,13.1598,No spawn/merge,circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.001679,0.7068,13.4344,No spawn/merge,circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_No spawn/merge,1.0,0.0,0.0,0.0,0,0.001579,0.718,12.6286,No spawn/merge,circle_easy
circle,10.0,0.0,0.5,10,20,42,FPT_No sticky dampening,0.87,0.666534,0.13,0.0,0,0.001638,0.736,13.1026,No sticky dampening,circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_No sticky dampening,0.885,0.808204,0.115,0.0,0,0.001653,0.7068,13.222,No sticky dampening,circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_No sticky dampening,0.94,0.819276,0.06,0.0,0,0.001581,0.7184,12.6476,No sticky dampening,circle_easy
circle,10.0,0.0,0.5,10,20,42,FPT_No Phase A (model-only),1.0,0.0,0.0,0.0,0,,0.6016,10.1346,No Phase A (model-only),circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_No Phase A (model-only),0.885,0.808204,0.115,0.0,0,0.001653,0.7068,13.222,No Phase A (model-only),circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_No Phase A (model-only),0.94,0.819276,0.06,0.0,0,0.001581,0.7184,12.6476,No Phase A (model-only),circle_easy
circle,10.0,0.0,0.5,10,20,42,FPT_No dynamic memory update,0.87,0.733812,0.13,0.0,0,0.001638,0.736,13.1026,No dynamic memory update,circle_easy
circle,10.0,0.0,0.5,10,20,123,FPT_No dynamic memory update,0.89,0.935216,0.11,0.0,0,0.001653,0.7068,13.222,No dynamic memory update,circle_easy
circle,10.0,0.0,0.5,10,20,456,FPT_No dynamic memory update,0.94,0.819276,0.06,0.0,0,0.001581,0.7184,12.6476,No dynamic memory update,circle_easy
circle,5.0,0.5,0.5,10,20,42,FPT_Full,0.37,0.666534,0.63,0.232,3,0.001638,0.736,13.1026,Full,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_Full,0.505,0.808204,0.495,0.158,2,0.001653,0.7068,13.222,Full,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_Full,0.48,0.819276,0.52,0.2528,6,0.001581,0.7184,12.6476,Full,circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_Hard assignment,0.37,0.440497,0.63,0.232,3,0.001642,0.736,13.1374,Hard assignment,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_Hard assignment,0.49,0.387576,0.51,0.158,2,0.001653,0.7068,13.222,Hard assignment,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_Hard assignment,0.48,0.408502,0.52,0.2528,6,0.001581,0.7184,12.6476,Hard assignment,circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_No transition prior,0.35,0.080908,0.65,0.232,3,0.001643,0.736,13.141,No transition prior,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_No transition prior,0.475,0.230917,0.525,0.1512,2,0.001667,0.7068,13.336,No transition prior,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_No transition prior,0.46,0.146913,0.54,0.2528,6,0.001581,0.7184,12.6472,No transition prior,circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_No spawn/merge,0.38,0.0,0.62,0.2408,3,0.001645,0.736,13.1598,No spawn/merge,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_No spawn/merge,0.54,0.0,0.46,0.0476,2,0.001679,0.7068,13.4344,No spawn/merge,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_No spawn/merge,0.485,0.0,0.515,0.2288,6,0.001579,0.718,12.6286,No spawn/merge,circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_No sticky dampening,0.37,0.666534,0.63,0.232,3,0.001638,0.736,13.1026,No sticky dampening,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_No sticky dampening,0.505,0.808204,0.495,0.158,2,0.001653,0.7068,13.222,No sticky dampening,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_No sticky dampening,0.48,0.819276,0.52,0.2528,6,0.001581,0.7184,12.6476,No sticky dampening,circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_No Phase A (model-only),0.38,0.0,0.62,0.2428,6,,0.6016,10.1346,No Phase A (model-only),circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_No Phase A (model-only),0.505,0.808204,0.495,0.158,2,0.001653,0.7068,13.222,No Phase A (model-only),circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_No Phase A (model-only),0.48,0.819276,0.52,0.2528,6,0.001581,0.7184,12.6476,No Phase A (model-only),circle_med
circle,5.0,0.5,0.5,10,20,42,FPT_No dynamic memory update,0.37,0.733812,0.63,0.232,3,0.001638,0.736,13.1026,No dynamic memory update,circle_med
circle,5.0,0.5,0.5,10,20,123,FPT_No dynamic memory update,0.505,0.935216,0.495,0.158,2,0.001653,0.7068,13.222,No dynamic memory update,circle_med
circle,5.0,0.5,0.5,10,20,456,FPT_No dynamic memory update,0.48,0.819276,0.52,0.2528,6,0.001581,0.7184,12.6476,No dynamic memory update,circle_med
circle,5.0,0.5,1.0,10,20,42,FPT_Full,0.395,0.577076,0.605,0.2616,2,0.001659,0.736,13.2698,Full,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_Full,0.515,0.64211,0.485,0.0264,0,0.001704,0.7068,13.6328,Full,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_Full,0.48,0.69245,0.52,0.3876,4,0.001601,0.7192,12.8072,Full,circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_Hard assignment,0.38,0.330396,0.62,0.2616,2,0.001656,0.736,13.2446,Hard assignment,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_Hard assignment,0.505,0.251506,0.495,0.0264,0,0.001704,0.7068,13.6328,Hard assignment,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_Hard assignment,0.47,0.30397,0.53,0.3876,4,0.001603,0.7192,12.8244,Hard assignment,circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_No transition prior,0.39,0.006244,0.61,0.2616,2,0.001659,0.736,13.2698,No transition prior,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_No transition prior,0.515,0.031875,0.485,0.0264,0,0.001704,0.7068,13.6328,No transition prior,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_No transition prior,0.42,0.141702,0.58,0.3876,4,0.001601,0.7192,12.8072,No transition prior,circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_No spawn/merge,0.38,0.0,0.62,0.2256,2,0.001652,0.736,13.213,No spawn/merge,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_No spawn/merge,0.54,0.0,0.46,0.0264,0,0.001704,0.7068,13.6328,No spawn/merge,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_No spawn/merge,0.485,0.0,0.515,0.2076,4,0.001616,0.7192,12.928,No spawn/merge,circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_No sticky dampening,0.395,0.577076,0.605,0.2616,2,0.001659,0.736,13.2698,No sticky dampening,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_No sticky dampening,0.515,0.64211,0.485,0.0264,0,0.001704,0.7068,13.6328,No sticky dampening,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_No sticky dampening,0.48,0.69245,0.52,0.3876,4,0.001601,0.7192,12.8072,No sticky dampening,circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_No Phase A (model-only),0.38,0.0,0.62,0.2288,6,,0.5956,10.2048,No Phase A (model-only),circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_No Phase A (model-only),0.515,0.64211,0.485,0.0264,0,0.001704,0.7068,13.6328,No Phase A (model-only),circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_No Phase A (model-only),0.48,0.69245,0.52,0.3876,4,0.001601,0.7192,12.8072,No Phase A (model-only),circle_med_strong
circle,5.0,0.5,1.0,10,20,42,FPT_No dynamic memory update,0.405,0.65798,0.595,0.2616,3,0.001645,0.736,13.157,No dynamic memory update,circle_med_strong
circle,5.0,0.5,1.0,10,20,123,FPT_No dynamic memory update,0.515,0.670809,0.485,0.0264,0,0.001704,0.7068,13.6328,No dynamic memory update,circle_med_strong
circle,5.0,0.5,1.0,10,20,456,FPT_No dynamic memory update,0.48,0.699706,0.52,0.3876,4,0.001601,0.7192,12.8072,No dynamic memory update,circle_med_strong
circle,2.0,0.5,0.5,10,20,42,FPT_Full,0.255,0.666534,0.745,0.232,3,0.001638,0.736,13.1026,Full,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_Full,0.215,0.808204,0.785,0.158,2,0.001653,0.7068,13.222,Full,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_Full,0.18,0.819276,0.82,0.2528,6,0.001581,0.7184,12.6476,Full,circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_Hard assignment,0.255,0.440497,0.745,0.232,3,0.001642,0.736,13.1374,Hard assignment,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_Hard assignment,0.22,0.387576,0.78,0.158,2,0.001653,0.7068,13.222,Hard assignment,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_Hard assignment,0.18,0.408502,0.82,0.2528,6,0.001581,0.7184,12.6476,Hard assignment,circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_No transition prior,0.245,0.080908,0.755,0.232,3,0.001643,0.736,13.141,No transition prior,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_No transition prior,0.195,0.230917,0.805,0.1512,2,0.001667,0.7068,13.336,No transition prior,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_No transition prior,0.17,0.146913,0.83,0.2528,6,0.001581,0.7184,12.6472,No transition prior,circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_No spawn/merge,0.22,0.0,0.78,0.2408,3,0.001645,0.736,13.1598,No spawn/merge,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_No spawn/merge,0.19,0.0,0.81,0.0476,2,0.001679,0.7068,13.4344,No spawn/merge,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_No spawn/merge,0.155,0.0,0.845,0.2288,6,0.001579,0.718,12.6286,No spawn/merge,circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_No sticky dampening,0.255,0.666534,0.745,0.232,3,0.001638,0.736,13.1026,No sticky dampening,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_No sticky dampening,0.215,0.808204,0.785,0.158,2,0.001653,0.7068,13.222,No sticky dampening,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_No sticky dampening,0.18,0.819276,0.82,0.2528,6,0.001581,0.7184,12.6476,No sticky dampening,circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_No Phase A (model-only),0.22,0.0,0.78,0.2428,6,,0.6016,10.1346,No Phase A (model-only),circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_No Phase A (model-only),0.215,0.808204,0.785,0.158,2,0.001653,0.7068,13.222,No Phase A (model-only),circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_No Phase A (model-only),0.18,0.819276,0.82,0.2528,6,0.001581,0.7184,12.6476,No Phase A (model-only),circle_hard
circle,2.0,0.5,0.5,10,20,42,FPT_No dynamic memory update,0.255,0.733812,0.745,0.232,3,0.001638,0.736,13.1026,No dynamic memory update,circle_hard
circle,2.0,0.5,0.5,10,20,123,FPT_No dynamic memory update,0.21,0.935216,0.79,0.158,2,0.001653,0.7068,13.222,No dynamic memory update,circle_hard
circle,2.0,0.5,0.5,10,20,456,FPT_No dynamic memory update,0.18,0.819276,0.82,0.2528,6,0.001581,0.7184,12.6476,No dynamic memory update,circle_hard
circle,2.0,1.0,0.5,10,20,42,FPT_Full,0.19,0.666534,0.81,0.232,3,0.001638,0.736,13.1026,Full,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_Full,0.19,0.808204,0.81,0.158,2,0.001653,0.7068,13.222,Full,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_Full,0.17,0.819276,0.83,0.2528,6,0.001581,0.7184,12.6476,Full,circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_Hard assignment,0.17,0.440497,0.83,0.232,3,0.001642,0.736,13.1374,Hard assignment,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_Hard assignment,0.195,0.387576,0.805,0.158,2,0.001653,0.7068,13.222,Hard assignment,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_Hard assignment,0.17,0.408502,0.83,0.2528,6,0.001581,0.7184,12.6476,Hard assignment,circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_No transition prior,0.18,0.080908,0.82,0.232,3,0.001643,0.736,13.141,No transition prior,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_No transition prior,0.18,0.230917,0.82,0.1512,2,0.001667,0.7068,13.336,No transition prior,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_No transition prior,0.18,0.146913,0.82,0.2528,6,0.001581,0.7184,12.6472,No transition prior,circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_No spawn/merge,0.15,0.0,0.85,0.2408,3,0.001645,0.736,13.1598,No spawn/merge,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_No spawn/merge,0.16,0.0,0.84,0.0476,2,0.001679,0.7068,13.4344,No spawn/merge,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_No spawn/merge,0.145,0.0,0.855,0.2288,6,0.001579,0.718,12.6286,No spawn/merge,circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_No sticky dampening,0.19,0.666534,0.81,0.232,3,0.001638,0.736,13.1026,No sticky dampening,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_No sticky dampening,0.19,0.808204,0.81,0.158,2,0.001653,0.7068,13.222,No sticky dampening,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_No sticky dampening,0.17,0.819276,0.83,0.2528,6,0.001581,0.7184,12.6476,No sticky dampening,circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_No Phase A (model-only),0.15,0.0,0.85,0.2428,6,,0.6016,10.1346,No Phase A (model-only),circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_No Phase A (model-only),0.19,0.808204,0.81,0.158,2,0.001653,0.7068,13.222,No Phase A (model-only),circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_No Phase A (model-only),0.17,0.819276,0.83,0.2528,6,0.001581,0.7184,12.6476,No Phase A (model-only),circle_extreme
circle,2.0,1.0,0.5,10,20,42,FPT_No dynamic memory update,0.19,0.733812,0.81,0.232,3,0.001638,0.736,13.1026,No dynamic memory update,circle_extreme
circle,2.0,1.0,0.5,10,20,123,FPT_No dynamic memory update,0.195,0.935216,0.805,0.158,2,0.001653,0.7068,13.222,No dynamic memory update,circle_extreme
circle,2.0,1.0,0.5,10,20,456,FPT_No dynamic memory update,0.17,0.819276,0.83,0.2528,6,0.001581,0.7184,12.6476,No dynamic memory update,circle_extreme
circle,5.0,0.25,0.3,10,20,42,FPT_Full,0.375,0.899061,0.625,0.2336,4,0.001629,0.736,13.0322,Full,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_Full,0.725,0.961825,0.275,0.162,3,0.001651,0.7064,13.2086,Full,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_Full,0.585,0.763083,0.415,0.2384,6,0.001553,0.716,12.4204,Full,circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_Hard assignment,0.385,0.45735,0.615,0.2336,4,0.001635,0.736,13.0806,Hard assignment,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_Hard assignment,0.69,0.485077,0.31,0.162,3,0.001651,0.7064,13.2086,Hard assignment,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_Hard assignment,0.585,0.40663,0.415,0.2384,6,0.001553,0.716,12.4204,Hard assignment,circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_No transition prior,0.37,0.054385,0.63,0.2336,4,0.001636,0.736,13.0894,No transition prior,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_No transition prior,0.615,0.593113,0.385,0.162,3,0.001651,0.7064,13.2082,No transition prior,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_No transition prior,0.57,0.108311,0.43,0.2384,6,0.001552,0.716,12.4192,No transition prior,circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_No spawn/merge,0.36,0.0,0.64,0.2424,4,0.001637,0.736,13.0998,No spawn/merge,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_No spawn/merge,0.795,0.0,0.205,0.0736,3,0.00166,0.7064,13.277,No spawn/merge,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_No spawn/merge,0.595,0.0,0.405,0.2272,6,0.001555,0.7156,12.437,No spawn/merge,circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_No sticky dampening,0.375,0.899061,0.625,0.2336,4,0.001629,0.736,13.0322,No sticky dampening,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_No sticky dampening,0.725,0.961825,0.275,0.162,3,0.001651,0.7064,13.2086,No sticky dampening,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_No sticky dampening,0.585,0.763083,0.415,0.2384,6,0.001553,0.716,12.4204,No sticky dampening,circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_No Phase A (model-only),0.36,0.0,0.64,0.2352,6,,0.594,10.136,No Phase A (model-only),circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_No Phase A (model-only),0.725,0.961825,0.275,0.162,3,0.001651,0.7064,13.2086,No Phase A (model-only),circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_No Phase A (model-only),0.585,0.763083,0.415,0.2384,6,0.001553,0.716,12.4204,No Phase A (model-only),circle_sync_mild
circle,5.0,0.25,0.3,10,20,42,FPT_No dynamic memory update,0.375,0.973544,0.625,0.2336,4,0.001629,0.736,13.0322,No dynamic memory update,circle_sync_mild
circle,5.0,0.25,0.3,10,20,123,FPT_No dynamic memory update,0.725,0.992015,0.275,0.162,3,0.001651,0.7064,13.2086,No dynamic memory update,circle_sync_mild
circle,5.0,0.25,0.3,10,20,456,FPT_No dynamic memory update,0.585,0.779033,0.415,0.2384,6,0.001553,0.716,12.4204,No dynamic memory update,circle_sync_mild
